MZ	Intensity	Resolution	S/N
496.45598	258102	303770	1.0	
496.46524	240679	285104	0.8	
496.47427	229240	448497	0.7	
496.49005	273834	338099	1.2	
496.49711	368266	225627	2.3	
496.50207	413163	253922	2.9	
496.51892	268333	287161	1.2	
496.52378	413741	203120	2.9	
496.52750	375309	262000	2.4	
496.53540	346638	378656	2.1	
496.53843	358943	253557	2.2	
496.54603	228943	396099	0.7	
496.55018	252672	341829	1.0	
496.55415	284336	230877	1.3	
496.55784	327985	267499	1.9	
496.56587	382249	182908	2.5	
496.57442	293146	240069	1.4	
496.58190	264035	198341	1.1	
496.58577	325875	435987	1.8	
496.58816	266100	526562	1.1	
496.59220	253452	263885	1.0	
496.59903	224005	458147	0.6	
496.60550	366165	302680	2.3	
496.61002	389014	311139	2.6	
496.62637	351960	268173	2.1	
496.63185	270504	393870	1.2	
496.63624	294937	231408	1.5	
496.65525	307211	260999	1.6	
496.65997	287995	258132	1.4	
496.66253	357691	371907	2.2	
496.67612	251189	281239	1.0	
496.68546	441326	168391	3.2	
496.68935	466942	262541	3.5	
496.69460	293567	376599	1.4	
496.70427	307920	307787	1.6	
496.70860	473568	252821	3.6	
496.71222	334912	331889	1.9	
496.72195	231361	494251	0.7	
496.73019	313746	320353	1.7	
496.73259	320771	356139	1.8	
496.73980	262803	391937	1.1	
496.74365	264852	329537	1.1	
496.75246	267461	423565	1.1	
496.76547	417638	249886	2.9	
496.76968	248698	271650	0.9	
496.77164	291983	197151	1.4	
496.77991	311047	308268	1.7	
496.78236	247704	383455	0.9	
496.79276	224649	613897	0.6	
496.80166	329066	353709	1.9	
496.80406	249962	391457	0.9	
496.81208	362123	233916	2.3	
496.81458	356699	173855	2.2	
496.82080	303340	217849	1.6	
496.82356	335068	284011	1.9	
496.82652	283660	413492	1.3	
496.83174	287341	302427	1.4	
496.83381	243853	528408	0.9	
496.83916	337133	208770	2.0	
496.84363	293550	213966	1.4	
496.85034	450543	180750	3.3	
496.85383	348431	199619	2.1	
496.85662	356959	251057	2.2	
496.85931	262416	232153	1.1	
496.86392	232528	397952	0.7	
496.86616	270672	367089	1.2	
496.86894	300529	376251	1.5	
496.87236	325345	272745	1.8	
496.87972	339522	313174	2.0	
496.88374	228202	290441	0.7	
496.90089	248340	229999	0.9	
496.91304	295781	369191	1.5	
496.91642	336341	320889	2.0	
496.92117	298614	173413	1.5	
496.92315	361286	203891	2.2	
496.92979	242727	387138	0.9	
496.93301	297655	384710	1.5	
