MZ	Intensity	Resolution	S/N
545.74659	253279	278810	0.9	
545.75667	328144	297344	1.7	
545.76218	318000	307354	1.6	
545.76654	254281	276030	0.9	
545.77596	228898	190165	0.6	
545.77937	322098	359726	1.7	
545.78705	252707	378184	0.9	
545.79176	322131	296091	1.7	
545.79449	244692	421170	0.8	
545.79959	238580	439113	0.7	
545.80507	280917	387047	1.2	
545.80871	284917	204078	1.2	
545.81455	242582	321346	0.8	
545.82436	334567	217506	1.8	
545.82761	357927	177769	2.1	
545.83330	260008	171546	1.0	
545.83837	292088	342699	1.3	
545.84472	252553	378409	0.9	
545.84940	327849	189518	1.7	
545.85195	304890	302911	1.5	
545.85750	288426	329761	1.3	
545.88743	442813	289120	3.0	
545.88987	236590	390205	0.7	
545.89662	471294	248083	3.3	
545.90105	244943	357343	0.8	
545.90683	286095	263493	1.3	
545.91193	348224	346089	2.0	
545.91750	295808	271750	1.4	
545.92091	350049	183848	2.0	
545.92430	410417	148416	2.7	
545.94022	301395	149661	1.4	
545.95579	253712	212111	0.9	
545.97680	317735	383841	1.6	
545.98840	243544	430696	0.8	
545.99467	280953	310386	1.2	
546.00441	343114	286519	1.9	
546.01319	353770	349223	2.0	
546.02210	289211	264838	1.3	
546.02898	371420	170397	2.2	
546.03310	326445	360841	1.7	
546.03897	393357	189614	2.5	
546.04172	410733	185544	2.7	
546.06944	22635568	200656	253.5	
546.10881	382228	280705	2.3	
546.12449	451030	251517	3.1	
546.12840	247015	277274	0.8	
546.13343	275799	288884	1.1	
546.14618	291288	234257	1.3	
546.15922	321466	321029	1.7	
546.16325	287226	250650	1.3	
546.16559	317962	194163	1.6	
546.17480	341659	204915	1.9	
546.17890	336876	278114	1.8	
546.18249	325300	175458	1.7	
546.19619	445502	221287	3.1	
546.20632	250911	395108	0.9	
546.22245	316848	226371	1.6	
546.22976	386785	184934	2.4	
546.23575	312530	214041	1.6	
546.24326	288403	211683	1.3	
546.24681	426115	227315	2.8	
546.26035	329316	288811	1.7	
546.26583	242837	409739	0.8	
546.27320	468998	184871	3.3	
546.28046	230342	361088	0.6	
546.28720	341847	193492	1.9	
546.29084	261296	205413	1.0	
546.30806	268185	300883	1.0	
546.31757	360666	163371	2.1	
546.32247	272843	286911	1.1	
546.32954	308540	253715	1.5	
546.33695	410476	115353	2.7	
546.35358	302222	365639	1.4	
546.35906	364911	318768	2.1	
546.36355	320335	138761	1.6	
546.36685	280223	166330	1.2	
546.38931	370138	116256	2.2	
546.39268	302210	190863	1.4	
546.39892	258979	301627	0.9	
546.41373	269732	309801	1.1	
546.42023	418053	231341	2.7	
546.42209	431125	208641	2.9	
546.42945	234390	474519	0.7	
546.43723	401191	154174	2.6	
546.43993	362887	167300	2.1	
546.44975	230832	328223	0.6	
546.46046	240265	344270	0.7	
546.46580	324722	136741	1.7	
546.47592	263179	320555	1.0	
546.48177	251644	234317	0.9	
546.48846	443740	216466	3.0	
546.49152	271612	223432	1.1	
546.49354	271741	334235	1.1	
546.50312	532590	140419	4.0	
546.50967	287166	408423	1.3	
546.52396	418528	265599	2.7	
546.53063	462401	276399	3.2	
546.56558	8012389	181303	88.5	
546.56965	4298085	150485	46.5	
546.63887	347884	247691	1.9	
546.64356	237820	311183	0.7	
546.65131	368941	236096	2.2	
546.66364	376949	115608	2.3	
546.67107	289103	322445	1.3	
546.67456	326896	173916	1.7	
546.67758	346096	195695	1.9	
546.68250	449584	211659	3.1	
546.70342	262707	417983	1.0	
546.70700	340291	254584	1.9	
546.71167	336084	236229	1.8	
546.71504	345204	281078	1.9	
546.71875	272532	363412	1.1	
546.73030	291525	259322	1.3	
546.74253	310255	178629	1.5	
546.74457	312743	272304	1.6	
546.74778	246951	336630	0.8	
546.75195	444024	174807	3.0	
546.75636	263544	307602	1.0	
546.75992	275497	346910	1.1	
546.76381	254681	478074	0.9	
546.76668	260313	491368	1.0	
546.77490	246306	237073	0.8	
546.77859	314843	355317	1.6	
546.78368	298459	339252	1.4	
546.79237	316124	269358	1.6	
546.80085	471405	180207	3.3	
546.80364	312205	300215	1.5	
546.81097	237998	413973	0.7	
546.81250	245790	267121	0.8	
546.81594	370366	275236	2.2	
546.81923	405823	267896	2.6	
546.82398	373759	179701	2.2	
546.83062	254496	337972	0.9	
546.83369	261776	360337	1.0	
546.83948	276929	347619	1.1	
546.84280	518337	270326	3.9	
546.84616	341570	376289	1.9	
546.86942	296004	290118	1.4	
546.87661	327173	223554	1.7	
546.88232	293653	178647	1.3	
546.88881	291686	274142	1.3	
546.90183	250855	316862	0.9	
546.91479	303185	192595	1.4	
546.91883	295497	295241	1.4	
546.93114	257930	371293	0.9	
546.93430	333259	324608	1.8	
546.94081	464731	198361	3.3	
546.95264	283661	388094	1.2	
546.96124	263694	318521	1.0	
546.96609	308046	253646	1.5	
546.98468	239792	331350	0.7	
546.99913	425778	217311	2.8	
547.00503	248946	435265	0.8	
547.01202	303603	371693	1.4	
547.06250	512728	339243	3.8	
547.06723	2617753	208688	27.6	
547.07162	1492505	202516	14.9	
547.07541	383578	299219	2.4	
547.11505	293502	337185	1.3	
547.12667	261295	334714	1.0	
547.13302	305912	148925	1.5	
547.13731	359040	147517	2.1	
547.14069	331604	164406	1.8	
547.14514	272657	356023	1.1	
547.16026	287138	370740	1.3	
547.17619	413844	211315	2.7	
547.18489	235829	275002	0.7	
547.18863	241349	471878	0.7	
547.19249	348470	283881	2.0	
547.19657	405526	141564	2.6	
547.20748	410791	136746	2.7	
547.21062	313796	161386	1.6	
547.21725	303192	246966	1.4	
547.22844	270874	349955	1.1	
547.23313	303818	199374	1.5	
547.23991	385047	158210	2.4	
547.24127	377178	87385	2.3	
547.24819	234924	453219	0.7	
547.26055	233837	625526	0.7	
547.26656	339470	144959	1.9	
547.27459	289662	218188	1.3	
547.27690	274447	287426	1.1	
547.28276	297535	230988	1.4	
547.29417	503984	277583	3.7	
547.29778	436689	261137	3.0	
547.30785	345266	252705	1.9	
547.31567	366451	289214	2.2	
547.31904	317267	317815	1.6	
547.32439	269332	265415	1.1	
547.33008	352388	188957	2.0	
547.34569	273846	212643	1.1	
547.34905	350550	172041	2.0	
547.37164	300185	235085	1.4	
547.39223	235339	424579	0.7	
547.39940	238715	515030	0.7	
547.40305	234332	375890	0.7	
547.40733	255612	370297	0.9	
547.41296	233929	212174	0.7	
547.41937	348126	263361	2.0	
547.42452	395998	222022	2.5	
547.42913	376415	293105	2.3	
547.43467	280303	343496	1.2	
547.44391	252480	444905	0.9	
547.44870	331105	250148	1.8	
547.45523	235745	318085	0.7	
547.46727	290499	322084	1.3	
547.47860	326244	323256	1.7	
547.48235	509220	242196	3.8	
547.48566	255852	427726	0.9	
547.48755	309797	212930	1.5	
547.49300	291365	438249	1.3	
547.49637	296598	322544	1.4	
547.50099	281206	294809	1.2	
547.50459	262406	283881	1.0	
547.50812	245479	365864	0.8	
547.51876	305736	299435	1.5	
547.52552	341897	247373	1.9	
547.53406	307178	335806	1.5	
547.54277	259418	300170	0.9	
547.55124	349275	259517	2.0	
547.55713	234860	231271	0.7	
547.56090	471340	227995	3.3	
547.56378	366317	252446	2.2	
547.56741	565005	223201	4.4	
547.56975	657357	163524	5.4	
547.58697	288207	253264	1.3	
547.59019	460591	257387	3.2	
547.60509	242033	542541	0.8	
547.60798	243825	486099	0.8	
547.61506	337618	323867	1.8	
547.61805	353874	360602	2.0	
547.62361	403331	208380	2.6	
547.63338	288884	322865	1.3	
547.63723	286484	286180	1.3	
547.64024	294085	248706	1.3	
547.64571	353941	216480	2.0	
547.65428	268074	135280	1.0	
547.66843	287656	243374	1.3	
547.68426	287849	222387	1.3	
547.68852	392826	207030	2.5	
547.69826	445723	205093	3.1	
547.71033	340796	311306	1.9	
547.72391	289437	374487	1.3	
547.73030	340766	148066	1.9	
547.73636	380015	150881	2.3	
547.74724	346648	172138	1.9	
547.75054	281248	228094	1.2	
547.75805	318753	145862	1.6	
547.76599	268978	363046	1.1	
547.77191	404290	225707	2.6	
547.77708	280867	367440	1.2	
547.78414	337432	168260	1.8	
547.80174	276070	341892	1.1	
547.80872	267670	272011	1.0	
547.81312	349399	227754	2.0	
547.82374	276104	340763	1.1	
547.82922	261672	273385	1.0	
547.83396	314985	346049	1.6	
547.83709	393705	359861	2.5	
547.84382	237562	391316	0.7	
547.84904	240282	335389	0.7	
547.86718	344332	252444	1.9	
547.87321	444109	270157	3.0	
547.89208	384335	242490	2.4	
547.89792	230488	307553	0.6	
547.91011	253105	531512	0.9	
547.91291	362033	388362	2.1	
547.91578	285649	479582	1.2	
547.92464	407954	179802	2.6	
547.92678	332843	217082	1.8	
547.93786	299876	187432	1.4	
547.94260	402100	166413	2.6	
547.94671	300485	222340	1.4	
547.95322	295157	244630	1.4	
547.96283	351926	242777	2.0	
547.96941	305079	380414	1.5	
547.98925	304393	285545	1.5	
547.99849	264042	320117	1.0	
548.00805	267307	245417	1.0	
548.01903	248790	168553	0.8	
548.02417	378205	204313	2.3	
548.02789	255965	588257	0.9	
548.03058	295965	441371	1.4	
548.03395	233086	443369	0.7	
548.04411	358911	286868	2.1	
548.04737	268031	382601	1.0	
548.05268	318720	316012	1.6	
548.06013	237249	413008	0.7	
548.06483	348497	272608	2.0	
548.06976	284578	356467	1.2	
548.07288	241186	376827	0.7	
548.07521	376002	271370	2.3	
548.08346	424771	305618	2.8	
548.08668	242211	544234	0.8	
548.09193	289092	242528	1.3	
548.09620	404516	282626	2.6	
548.10186	366213	288355	2.2	
548.11183	256134	325277	0.9	
548.11491	383046	323616	2.3	
548.11809	465927	260939	3.3	
548.12490	245063	288199	0.8	
548.12942	241864	460073	0.8	
548.13728	305657	289518	1.5	
548.14640	288314	209135	1.3	
548.15086	288542	129479	1.3	
548.15967	298635	345286	1.4	
548.16698	290172	284436	1.3	
548.17132	302188	353290	1.4	
548.17805	262061	279103	1.0	
548.18991	309518	276865	1.5	
548.20053	239279	430933	0.7	
548.21730	307985	346288	1.5	
548.22159	330337	218330	1.7	
548.23452	241331	333811	0.7	
548.24676	269812	229065	1.1	
548.25086	348548	157221	2.0	
548.25567	335541	294331	1.8	
548.26561	481398	224073	3.5	
548.27736	264311	387156	1.0	
548.28041	254456	332350	0.9	
548.28883	333976	381913	1.8	
548.29207	460537	253421	3.2	
548.29945	420570	233493	2.8	
548.30221	230258	321244	0.6	
548.30785	277402	240083	1.2	
548.31164	305875	151655	1.5	
548.31598	514779	208043	3.8	
548.32271	237244	363061	0.7	
548.32666	267388	383258	1.0	
548.33397	312077	276576	1.5	
548.33936	321666	165943	1.7	
548.34387	314526	305067	1.6	
548.34691	241327	299565	0.7	
548.35203	303343	206244	1.4	
548.35511	368783	201977	2.2	
548.36056	454752	227159	3.2	
548.36587	302625	394147	1.4	
548.37584	242434	341211	0.8	
548.38433	258050	403872	0.9	
548.38725	256803	353054	0.9	
548.39054	278243	300496	1.2	
548.40040	326468	349560	1.7	
548.41485	242662	155093	0.8	
548.42348	233911	466716	0.7	
548.42737	344767	178950	1.9	
548.43953	351976	236040	2.0	
548.44572	437801	179962	3.0	
548.45182	354458	187208	2.0	
548.45554	236346	203766	0.7	
548.46271	402635	271240	2.6	
548.46765	386155	269692	2.4	
548.48075	278605	322373	1.2	
548.48408	337005	274001	1.8	
548.48800	305965	206778	1.5	
548.49737	246062	367820	0.8	
548.50658	492079	253107	3.6	
548.51006	287824	384872	1.3	
548.51566	486832	241387	3.5	
548.52466	372897	186735	2.2	
548.53408	397378	201474	2.5	
548.54963	415652	213262	2.7	
548.56237	300437	430123	1.4	
548.56739	314150	297977	1.6	
548.57666	398615	293496	2.5	
548.58183	247223	532523	0.8	
548.59408	247208	324162	0.8	
548.59731	394105	186927	2.5	
548.60401	423161	145355	2.8	
548.61046	328362	268955	1.7	
548.62756	386876	250422	2.4	
548.63222	411660	196920	2.7	
548.64097	301469	399534	1.4	
548.64404	250814	511316	0.9	
548.64718	343934	274403	1.9	
548.65273	271791	303232	1.1	
548.65860	237679	277860	0.7	
548.68021	231441	381172	0.6	
548.68724	279170	266509	1.2	
548.69745	240675	481849	0.7	
548.70296	319236	231026	1.6	
548.70650	276580	371933	1.1	
548.72541	243670	379505	0.8	
548.73427	327159	290308	1.7	
548.73853	499879	215720	3.7	
548.75760	457513	252080	3.2	
548.76457	286090	373751	1.2	
548.78494	404332	233829	2.6	
548.79300	279157	187418	1.2	
548.80236	269166	399798	1.1	
548.80761	263399	163524	1.0	
548.81018	229767	316973	0.6	
548.81344	309295	275474	1.5	
548.82204	255600	432315	0.9	
548.82523	274673	332305	1.1	
548.83166	485393	238841	3.5	
548.84063	303074	259437	1.4	
548.85549	277892	321781	1.2	
548.86897	338645	207908	1.8	
548.87373	263990	362970	1.0	
548.88535	258023	322306	0.9	
548.88783	255399	395515	0.9	
548.89152	318472	271812	1.6	
548.90727	259513	303264	0.9	
548.91937	272042	335420	1.1	
548.93389	278396	294182	1.2	
548.93784	244092	349217	0.8	
548.94290	299341	147771	1.4	
548.94745	328013	236640	1.7	
548.95326	327614	312885	1.7	
548.96533	371871	247417	2.2	
548.98030	342433	228332	1.9	
548.98868	307746	348608	1.5	
548.99836	379459	254875	2.3	
549.00613	253731	304256	0.9	
549.02296	250661	254866	0.8	
549.02964	238022	654733	0.7	
549.03252	270918	478452	1.1	
549.03773	370775	224131	2.2	
549.04356	259623	393486	0.9	
549.04688	452936	266742	3.1	
549.04930	269640	358254	1.1	
549.05467	259497	442325	0.9	
549.07824	309443	210729	1.5	
549.08711	314380	341417	1.6	
549.09072	303316	135794	1.4	
549.09554	410477	203984	2.7	
549.09920	347709	210701	1.9	
549.10984	376046	243092	2.3	
549.11667	332143	226764	1.8	
549.12053	377343	235281	2.3	
549.12929	234352	558415	0.7	
549.13412	326513	329607	1.7	
549.14545	251938	281945	0.9	
549.16353	328452	170094	1.7	
549.17147	350261	241439	2.0	
549.18332	278982	249896	1.2	
549.18747	271942	248244	1.1	
549.19103	350887	220940	2.0	
549.20071	327872	168855	1.7	
549.20538	321368	283740	1.6	
549.21926	331322	333098	1.8	
549.22387	325722	339823	1.7	
549.23100	346811	294907	1.9	
549.23798	558012	215007	4.3	
549.24972	346893	228264	1.9	
549.26112	304574	349683	1.5	
549.28244	284368	305649	1.2	
549.28865	331201	261230	1.8	
549.29450	294210	333909	1.3	
549.29864	516546	211828	3.8	
549.30535	282275	392787	1.2	
549.31165	250195	341935	0.8	
549.31645	229444	523902	0.6	
549.31952	270148	367055	1.1	
549.32271	244085	377563	0.8	
549.33624	309638	341587	1.5	
549.34444	262887	439747	1.0	
549.34768	258791	403030	0.9	
549.36417	451817	211974	3.1	
549.37177	307786	362855	1.5	
549.37446	230442	546260	0.6	
549.37997	344139	295120	1.9	
549.38593	301995	214184	1.4	
549.39525	230828	258100	0.6	
549.40693	230653	460802	0.6	
549.41690	370926	220204	2.2	
549.42009	281823	332374	1.2	
549.42539	451695	224928	3.1	
549.42938	328576	258473	1.7	
549.44847	339682	270704	1.9	
549.45750	322995	319408	1.7	
549.46846	246260	280484	0.8	
549.48146	379733	203469	2.3	
549.48613	255302	385965	0.9	
549.49072	380022	210033	2.3	
549.49473	430103	189550	2.9	
549.49739	441799	175983	3.0	
549.50096	273175	312961	1.1	
549.50531	259112	358577	0.9	
549.51038	464504	206792	3.3	
549.51391	435849	168504	2.9	
549.51697	271561	415687	1.1	
549.52049	294009	317893	1.3	
549.52662	246106	367915	0.8	
549.54078	262379	367520	1.0	
549.54422	292268	282643	1.3	
549.55442	310141	386999	1.5	
549.55816	232469	323664	0.6	
549.56975	396990	256643	2.5	
549.57585	425311	262377	2.8	
549.58414	324704	138691	1.7	
549.58684	249068	243383	0.8	
549.59023	320449	354207	1.6	
549.60033	331154	180114	1.8	
549.61053	325539	302933	1.7	
549.61943	528356	208127	4.0	
549.62464	238516	431529	0.7	
549.63087	434181	217710	2.9	
549.63783	269574	396821	1.1	
549.65704	365640	169254	2.1	
549.67837	338346	276105	1.8	
549.68360	288346	306435	1.3	
549.68846	331723	322992	1.8	
549.69153	232043	603865	0.6	
549.69789	248636	360127	0.8	
549.70729	326637	372211	1.7	
549.71455	398126	268268	2.5	
549.72313	322286	211195	1.7	
549.72767	235999	469467	0.7	
549.73436	461424	243964	3.2	
549.74071	266432	371394	1.0	
549.74854	230081	484086	0.6	
549.75247	463922	231534	3.3	
549.76181	251730	325474	0.9	
549.76540	229467	204518	0.6	
549.78138	248693	394105	0.8	
549.78643	463221	237002	3.2	
549.79039	235637	404330	0.7	
549.79353	230038	713764	0.6	
549.79995	258190	274082	0.9	
549.80428	229303	412826	0.6	
549.81067	279832	345105	1.2	
549.81589	352184	291480	2.0	
549.82833	347289	299576	1.9	
549.83271	278474	308456	1.2	
549.84034	275059	184609	1.1	
549.84292	345483	232744	1.9	
549.85961	312493	265308	1.5	
549.86922	291390	296845	1.3	
549.87271	329630	319709	1.7	
549.87681	249310	218326	0.8	
549.88107	249711	408318	0.8	
549.88480	231487	401597	0.6	
549.90103	276033	317584	1.1	
549.90596	400450	218472	2.5	
549.91482	280107	230929	1.2	
549.93005	380452	269116	2.3	
549.93428	299753	132801	1.4	
549.93996	234021	324501	0.7	
549.94589	319494	322375	1.6	
549.94915	293030	324500	1.3	
549.95511	351879	278711	2.0	
549.96140	314599	338971	1.6	
549.96463	383496	203936	2.3	
549.99352	329755	264599	1.7	
550.00221	344684	282427	1.9	
550.01145	327757	155745	1.7	
550.02890	362894	352493	2.1	
550.03294	329839	165290	1.7	
550.04135	367984	278220	2.2	
550.04492	335024	251517	1.8	
550.04877	264624	406711	1.0	
550.06987	263411	391832	1.0	
550.07701	283139	195229	1.2	
550.08231	258148	380206	0.9	
550.10402	269294	191046	1.1	
550.11014	351639	274771	2.0	
550.11346	412183	246998	2.7	
550.12087	417176	252396	2.7	
550.12464	442488	193247	3.0	
550.12904	305145	320352	1.5	
550.13593	242490	373551	0.8	
550.13953	243610	377258	0.8	
550.15570	481660	230890	3.5	
550.16599	238973	352583	0.7	
550.16970	435661	211840	2.9	
550.18045	404542	257759	2.6	
550.18772	260751	195387	1.0	
550.19304	238296	184747	0.7	
550.20174	377784	183115	2.3	
550.20400	431569	163846	2.9	
550.21825	288802	373870	1.3	
550.22821	467283	181468	3.3	
550.24118	364357	278878	2.1	
550.24559	335205	226642	1.8	
550.26848	245463	189815	0.8	
550.27205	333864	361854	1.8	
550.27516	320360	349366	1.6	
550.28241	289545	230862	1.3	
550.28781	411017	138143	2.7	
550.29064	373882	281964	2.2	
550.30177	305691	274620	1.5	
550.30552	388267	275391	2.4	
550.30963	293772	264747	1.3	
550.31367	261196	270643	1.0	
550.32023	326349	335429	1.7	
550.32389	247101	304745	0.8	
550.32683	277838	317621	1.2	
550.33255	401086	222988	2.5	
550.33691	258543	461751	0.9	
550.34000	299247	365209	1.4	
550.34878	230672	598992	0.6	
550.36279	331281	311447	1.8	
550.37688	288483	179918	1.3	
550.38313	299507	244100	1.4	
550.38838	282452	287982	1.2	
550.39307	261412	326960	1.0	
550.39811	314693	221420	1.6	
550.40238	298717	169207	1.4	
550.40640	252374	280514	0.9	
550.41219	303350	393566	1.4	
550.42778	329816	301620	1.7	
550.43142	255864	213725	0.9	
550.43426	257721	195899	0.9	
550.44332	442058	166047	3.0	
550.45547	316011	246311	1.6	
550.46014	570924	135756	4.5	
550.46545	284060	314334	1.2	
550.47586	357981	273634	2.1	
550.48046	586110	208116	4.6	
550.49605	466655	283528	3.3	
550.49940	327872	383057	1.7	
550.50845	314097	214342	1.6	
550.51257	324577	250314	1.7	
550.51726	328993	232423	1.7	
550.52567	249314	375352	0.8	
550.54329	285956	165285	1.2	
550.55096	314645	228240	1.6	
550.56311	292662	341021	1.3	
550.56989	259927	392744	1.0	
550.57862	385688	226987	2.4	
550.58414	402090	112292	2.6	
550.59175	277673	293308	1.2	
550.59807	289434	317826	1.3	
550.60249	239754	408063	0.7	
550.60730	301611	265431	1.4	
550.61089	423499	305765	2.8	
550.61417	370604	168496	2.2	
550.61918	347564	330185	1.9	
550.62658	249709	422573	0.8	
550.63538	574606	222163	4.5	
550.63924	235502	302883	0.7	
550.64889	244495	454681	0.8	
550.65604	274672	324264	1.1	
550.67114	442386	226825	3.0	
550.68048	293363	245362	1.3	
550.68629	323507	309126	1.7	
550.69241	318580	280926	1.6	
550.70559	331125	254652	1.8	
550.71283	232134	490474	0.6	
550.72840	230552	419782	0.6	
550.74174	263345	243124	1.0	
550.75430	252154	270077	0.9	
550.75893	297723	212544	1.4	
550.76190	372635	229148	2.2	
550.76823	244236	281304	0.8	
550.78336	308941	268564	1.5	
550.78870	434174	263162	2.9	
550.79374	241534	478217	0.7	
550.79818	341183	311584	1.9	
550.80133	290783	447004	1.3	
550.81333	402432	278970	2.6	
550.81885	248881	428822	0.8	
550.82271	257969	358478	0.9	
550.83205	309274	211071	1.5	
550.83435	315843	204082	1.6	
550.84322	249412	394523	0.8	
550.85507	391621	207506	2.4	
550.85697	334249	182268	1.8	
550.86381	271910	257575	1.1	
550.86824	243494	375374	0.8	
550.87290	264247	369937	1.0	
550.87758	271815	472104	1.1	
550.88041	251559	466386	0.9	
550.89009	345064	280202	1.9	
550.89352	355305	373536	2.0	
550.91454	288787	223370	1.3	
550.92097	292540	317906	1.3	
550.92778	331932	272928	1.8	
550.94613	325502	209369	1.7	
550.95106	245647	480854	0.8	
550.95558	255407	462502	0.9	
550.96419	318232	158532	1.6	
550.97546	267585	370478	1.0	
550.98312	248258	341689	0.8	
550.98596	262034	310756	1.0	
550.99084	295251	367723	1.3	
550.99413	257955	350474	0.9	
550.99648	285652	157414	1.2	
551.00002	398420	198357	2.5	
551.00640	432213	186235	2.9	
551.01379	364117	363605	2.1	
551.01689	354710	337466	2.0	
551.02075	368854	267825	2.2	
551.02425	322710	287706	1.7	
551.03282	452279	243582	3.1	
551.03654	488376	209212	3.5	
551.04033	330584	189620	1.7	
551.04813	436921	282326	2.9	
551.05190	282985	217129	1.2	
551.05457	415034	225007	2.7	
551.06219	248426	373982	0.8	
551.06553	263627	283668	1.0	
551.06947	240475	469094	0.7	
551.07806	295420	401303	1.4	
551.08257	253949	417036	0.9	
551.08611	403421	262394	2.6	
551.09142	295293	335485	1.4	
551.10230	360319	278052	2.1	
551.11132	233232	383809	0.6	
551.12341	261761	478574	1.0	
551.12653	319361	341591	1.6	
551.15428	433316	167540	2.9	
551.17371	231094	402336	0.6	
551.17858	291655	357058	1.3	
551.18239	297543	292509	1.4	
551.19346	271528	281062	1.1	
551.19608	340936	267741	1.9	
551.20712	285994	255760	1.2	
551.21102	307178	228230	1.5	
551.21491	438330	186311	3.0	
551.21779	257387	232584	0.9	
551.23737	266781	347284	1.0	
551.24592	258910	359634	0.9	
551.24957	411438	230423	2.7	
551.25657	283903	269046	1.2	
551.26124	277135	253436	1.1	
551.26479	544208	239297	4.2	
551.26896	272560	289064	1.1	
551.27981	374657	229803	2.2	
551.28515	274626	314395	1.1	
551.29752	308139	163079	1.5	
551.30209	394916	137674	2.5	
551.30748	416980	232594	2.7	
551.31314	479317	284865	3.4	
551.31950	285925	281029	1.2	
551.32443	255348	201858	0.9	
551.32842	308534	341104	1.5	
551.33499	243519	283275	0.8	
551.33922	251303	301773	0.9	
551.34273	342168	298594	1.9	
551.34854	477624	228689	3.4	
551.36008	274098	167436	1.1	
551.36620	381978	238455	2.3	
551.37056	255739	250860	0.9	
551.37673	334715	189576	1.8	
551.38245	231372	362072	0.6	
551.39545	349501	296486	1.9	
551.39899	244462	377594	0.8	
551.40897	240767	468661	0.7	
551.42161	299752	166914	1.4	
551.42969	258321	361314	0.9	
551.43800	279170	285469	1.2	
551.44361	334754	259246	1.8	
551.45225	428739	252956	2.8	
551.45967	369828	290512	2.2	
551.46779	282437	396965	1.2	
551.48445	339175	316576	1.8	
551.48954	315831	280819	1.6	
551.49300	276263	264006	1.1	
551.50822	255289	341644	0.9	
551.51360	332746	343355	1.7	
551.52058	350794	332479	1.9	
551.52626	288843	265770	1.3	
551.53737	391884	232619	2.4	
551.54105	292124	244077	1.3	
551.54999	345165	299610	1.9	
551.55716	322766	235809	1.6	
551.56013	357502	109078	2.0	
551.56353	305791	176076	1.4	
551.56936	344495	176937	1.9	
551.57574	232492	192764	0.6	
551.58494	332945	247318	1.7	
551.59211	299282	423950	1.4	
551.59499	349746	370511	1.9	
551.59818	338962	361455	1.8	
551.60183	249091	256436	0.8	
551.60572	312051	333775	1.5	
551.60882	261364	434783	1.0	
551.61601	378100	158995	2.3	
551.62140	450033	119469	3.1	
551.63588	314822	291839	1.5	
551.64218	281991	257785	1.2	
551.65615	401481	169603	2.5	
551.65968	383577	236773	2.3	
551.66474	293049	263071	1.3	
551.67229	430522	208255	2.8	
551.69338	237004	327303	0.7	
551.70569	263518	440104	1.0	
551.71440	281343	361640	1.2	
551.72066	399679	218584	2.5	
551.72609	314736	189787	1.5	
551.72939	455968	205749	3.1	
551.73796	273825	157329	1.1	
551.74494	317570	375477	1.6	
551.74779	357570	363267	2.0	
551.75583	410339	129101	2.6	
551.76730	248036	414206	0.8	
551.77889	312005	359525	1.5	
551.78178	413094	283042	2.6	
551.78597	308406	239170	1.5	
551.79824	363367	220384	2.1	
551.80403	253192	443861	0.9	
551.83400	306987	328062	1.5	
551.84470	354124	242606	2.0	
551.85117	592253	152934	4.6	
551.87579	265711	382883	1.0	
551.87849	266512	378181	1.0	
551.88250	238288	547015	0.7	
551.90211	444530	258674	3.0	
551.91901	428308	180184	2.8	
551.92237	410868	199168	2.6	
551.92803	317701	266494	1.6	
551.93185	314197	298770	1.5	
551.93484	234090	223549	0.6	
551.93651	229994	420237	0.6	
551.93897	286902	217710	1.2	
551.95224	469463	229941	3.3	
551.95692	281336	271763	1.2	
551.95959	300664	269438	1.4	
551.96233	375704	283748	2.2	
551.96676	243097	486441	0.7	
551.97028	299849	236178	1.4	
551.97708	246890	411785	0.8	
551.98342	250235	306629	0.8	
551.99666	379356	252121	2.3	
552.00094	278653	218519	1.1	
552.00775	379453	233744	2.3	
552.01843	249522	181704	0.8	
552.03169	277696	300463	1.1	
552.03529	235720	279389	0.7	
552.04521	324033	245061	1.7	
552.04994	265842	217105	1.0	
552.05305	510754	246430	3.7	
552.05964	270291	350015	1.1	
552.06571	344515	198123	1.9	
552.07528	404788	167840	2.5	
552.08128	309445	318586	1.5	
552.08456	355525	371133	2.0	
552.08802	256854	381479	0.9	
552.10146	233051	297663	0.6	
552.10452	361175	207375	2.1	
552.11156	272696	311910	1.1	
552.12166	242601	506007	0.7	
552.12436	260809	410905	0.9	
552.12745	245066	333963	0.8	
552.14087	235627	324599	0.7	
552.15041	239012	255280	0.7	
552.15454	371981	176312	2.2	
552.15687	340877	366305	1.8	
552.15998	257485	588642	0.9	
552.16705	256542	201103	0.9	
552.17338	368431	337935	2.1	
552.17695	298703	315840	1.4	
552.18511	404336	184532	2.5	
552.18975	389840	324707	2.4	
552.20052	285801	167936	1.2	
552.20714	268226	343698	1.0	
552.21269	295739	350530	1.3	
552.21453	311459	188157	1.5	
552.22753	271556	347636	1.1	
552.24520	528086	232817	3.9	
552.25404	283871	181023	1.2	
552.25862	301767	228276	1.4	
552.27258	379257	262062	2.3	
552.28312	277306	325616	1.1	
552.29705	267171	188941	1.0	
552.30234	428540	178831	2.8	
552.31140	326301	347469	1.7	
552.31474	318173	323669	1.6	
552.32166	326910	283726	1.7	
552.32549	252334	364451	0.9	
552.33478	236399	388413	0.7	
552.34375	475424	211866	3.3	
552.34771	311681	226984	1.5	
552.35183	353473	276034	2.0	
552.35644	349218	308986	1.9	
552.36309	368642	173585	2.1	
552.37310	294757	144629	1.3	
552.38940	443141	244881	3.0	
552.41165	379939	115332	2.3	
552.41991	616776	227286	4.9	
552.42935	320585	321575	1.6	
